jMRUI Results Textfile

Filename: Pat01_31P MRS_0000.rda

Name of Patient: Test DATA Hannah 
Date of Experiment: 20190409
Spectrometer: Skyra
Additional Information: Studien

Points	Samp.Int.	ZeroOrder	BeginTime	Tra.Freq.	Magn.F.	Nucleus
1024      	5E-1      	-1.7889E-1	2.3E0     	4.9894E7  	3E0       	1E0       

Name of Algorithm: AMARES

PETH	PI	GPE	GPC	PCRE	ATP-G-1	ATP-G-2	ATP-A-1	ATP-A-2	ATP-B-1	ATP-B-2	ATP-B-3	PCHO	MM	NAD(H)	

Frequencies (ppm)
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
6.8789E0	5.1108E0	3.339E0	2.8605E0	9.4552E-2	-2.2978E0	-2.6185E0	-7.7755E0	-8.0962E0	-1.6196E1	-1.6516E1	-1.6837E1	6.3358E0	2.2832E0	-8.3533E0	
6.8689E0	4.9776E0	3.5444E0	2.7011E0	8.4508E-2	-2.4773E0	-2.798E0	-7.2713E0	-7.592E0	-1.5748E1	-1.6069E1	-1.6389E1	6.3257E0	2.2731E0	-8.3634E0	
6.5333E0	4.8559E0	3.3632E0	2.6456E0	-2.5104E-1	-2.5868E0	-2.9074E0	-7.6E0	-7.9207E0	-1.6131E1	-1.6452E1	-1.6772E1	5.9902E0	1.9376E0	-8.6989E0	
6.4895E0	4.8876E0	3.3038E0	2.6456E0	-2.9485E-1	-2.5738E0	-2.8945E0	-7.6198E0	-7.9404E0	-1.6164E1	-1.6485E1	-1.6806E1	5.9464E0	1.8938E0	-8.7427E0	
6.4581E0	4.9023E0	3.287E0	2.6456E0	-3.2626E-1	-2.5598E0	-2.8805E0	-7.6459E0	-7.9666E0	-1.6399E1	-1.672E1	-1.7041E1	5.9149E0	1.8624E0	-8.7741E0	
6.4582E0	4.9032E0	3.287E0	2.6456E0	-3.2611E-1	-2.5275E0	-2.8482E0	-7.6587E0	-7.9794E0	-1.6207E1	-1.6527E1	-1.6848E1	5.9151E0	1.8625E0	-8.774E0	
6.4312E0	4.8457E0	3.287E0	2.6456E0	-3.5312E-1	-2.5436E0	-2.8642E0	-7.7323E0	-8.053E0	-1.6396E1	-1.6717E1	-1.7037E1	5.8881E0	1.8355E0	-8.801E0	
6.5004E0	4.8905E0	3.287E0	2.6831E0	-2.8399E-1	-2.4914E0	-2.8121E0	-7.5685E0	-7.8892E0	-1.6128E1	-1.6449E1	-1.677E1	5.9572E0	1.9046E0	-8.7319E0	
6.7235E0	4.9022E0	3.287E0	2.7693E0	-6.0881E-2	-2.323E0	-2.6437E0	-7.4451E0	-7.7658E0	-1.5967E1	-1.6288E1	-1.6609E1	6.1803E0	2.1278E0	-8.5088E0	
6.8268E0	4.6213E0	3.4592E0	2.8409E0	4.2398E-2	-1.9137E0	-2.2344E0	-7.1736E0	-7.4942E0	-1.55E1	-1.5821E1	-1.6141E1	6.2836E0	2.231E0	-8.4055E0	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
6.8278E0	4.7942E0	3.6477E0	3.0607E0	4.3479E-2	-2.7437E0	-3.0644E0	-7.3384E0	-7.6591E0	-1.6381E1	-1.6701E1	-1.7022E1	6.2847E0	2.2321E0	-8.4044E0	
6.6908E0	4.8008E0	3.6477E0	2.718E0	-9.3569E-2	-2.5044E0	-2.8251E0	-7.3214E0	-7.6421E0	-1.6064E1	-1.6385E1	-1.6706E1	6.1476E0	2.0951E0	-8.5415E0	
6.6372E0	4.777E0	3.4359E0	2.7297E0	-1.4719E-1	-2.5137E0	-2.8344E0	-7.57E0	-7.8907E0	-1.6106E1	-1.6427E1	-1.6747E1	6.094E0	2.0414E0	-8.5951E0	
6.638E0	4.7937E0	3.4338E0	2.7511E0	-1.4632E-1	-2.4862E0	-2.8068E0	-7.5629E0	-7.8836E0	-1.6124E1	-1.6444E1	-1.6765E1	6.0949E0	2.0423E0	-8.5942E0	
6.625E0	4.7881E0	3.4163E0	2.7987E0	-1.5932E-1	-2.4776E0	-2.7983E0	-7.5707E0	-7.8913E0	-1.6147E1	-1.6468E1	-1.6788E1	6.0819E0	2.0293E0	-8.6072E0	
6.6144E0	4.7953E0	3.3416E0	2.7261E0	-1.6997E-1	-2.4695E0	-2.7902E0	-7.5716E0	-7.8923E0	-1.6157E1	-1.6477E1	-1.6798E1	6.0712E0	2.0187E0	-8.6179E0	
6.6106E0	4.7917E0	3.287E0	2.716E0	-1.7376E-1	-2.4676E0	-2.7883E0	-7.56E0	-7.8807E0	-1.6156E1	-1.6476E1	-1.6797E1	6.0675E0	2.0149E0	-8.6216E0	
6.6308E0	4.7944E0	3.287E0	2.7543E0	-1.5353E-1	-2.4657E0	-2.7864E0	-7.533E0	-7.8537E0	-1.6128E1	-1.6449E1	-1.6769E1	6.0877E0	2.0351E0	-8.6014E0	
6.75E0	4.8179E0	3.287E0	2.7586E0	-3.4405E-2	-2.3792E0	-2.6999E0	-7.4524E0	-7.7731E0	-1.6022E1	-1.6343E1	-1.6664E1	6.2068E0	2.1542E0	-8.4823E0	
6.8004E0	4.8561E0	3.4135E0	2.7801E0	1.6082E-2	-2.32E0	-2.6407E0	-7.3557E0	-7.6764E0	-1.5998E1	-1.6319E1	-1.664E1	6.2573E0	2.2047E0	-8.4318E0	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
